round,method,scenario,path_chosen,rtt_ms,status,reason,timestamp
1,round_robin,normal,1,19.06,success,round_robin,2026-04-30T08:12:08.111724
2,round_robin,normal,2,73.51,success,round_robin,2026-04-30T08:12:08.185418
3,round_robin,normal,1,24.01,success,round_robin,2026-04-30T08:12:08.209560
4,round_robin,normal,2,60.13,success,round_robin,2026-04-30T08:12:08.269891
5,round_robin,normal,1,24.43,success,round_robin,2026-04-30T08:12:08.294507
6,round_robin,normal,2,97.36,success,round_robin,2026-04-30T08:12:08.392253
7,round_robin,normal,1,19.64,success,round_robin,2026-04-30T08:12:08.412061
8,round_robin,normal,2,90.76,success,round_robin,2026-04-30T08:12:08.502995
9,round_robin,normal,1,21.34,success,round_robin,2026-04-30T08:12:08.524526
10,round_robin,normal,2,67.0,success,round_robin,2026-04-30T08:12:08.591750
11,round_robin,normal,1,17.47,success,round_robin,2026-04-30T08:12:08.609372
12,round_robin,normal,2,88.53,success,round_robin,2026-04-30T08:12:08.698085
13,round_robin,normal,1,17.92,success,round_robin,2026-04-30T08:12:08.716207
14,round_robin,normal,2,88.8,success,round_robin,2026-04-30T08:12:08.805190
15,round_robin,normal,1,15.85,success,round_robin,2026-04-30T08:12:08.821347
16,round_robin,normal,2,78.69,success,round_robin,2026-04-30T08:12:08.900291
17,round_robin,normal,1,20.42,success,round_robin,2026-04-30T08:12:08.920909
18,round_robin,normal,2,97.37,success,round_robin,2026-04-30T08:12:09.018665
19,round_robin,normal,1,15.97,success,round_robin,2026-04-30T08:12:09.034812
20,round_robin,normal,2,67.85,success,round_robin,2026-04-30T08:12:09.103018
21,round_robin,normal,1,24.81,success,round_robin,2026-04-30T08:12:09.127999
22,round_robin,normal,2,68.52,success,round_robin,2026-04-30T08:12:09.196690
23,round_robin,normal,1,23.74,success,round_robin,2026-04-30T08:12:09.220629
24,round_robin,normal,2,87.12,success,round_robin,2026-04-30T08:12:09.307932
25,round_robin,normal,1,24.75,success,round_robin,2026-04-30T08:12:09.333081
26,round_robin,normal,2,95.31,success,round_robin,2026-04-30T08:12:09.428653
27,round_robin,normal,1,23.47,success,round_robin,2026-04-30T08:12:09.452296
28,round_robin,normal,2,85.09,success,round_robin,2026-04-30T08:12:09.537584
29,round_robin,normal,1,22.43,success,round_robin,2026-04-30T08:12:09.560129
30,round_robin,normal,2,66.45,success,round_robin,2026-04-30T08:12:09.626736
31,round_robin,normal,1,16.05,success,round_robin,2026-04-30T08:12:09.642978
32,round_robin,normal,2,73.89,success,round_robin,2026-04-30T08:12:09.717047
33,round_robin,normal,1,22.19,success,round_robin,2026-04-30T08:12:09.739523
34,round_robin,normal,2,70.33,success,round_robin,2026-04-30T08:12:09.810030
35,round_robin,normal,1,22.4,success,round_robin,2026-04-30T08:12:09.832624
36,round_robin,normal,2,62.87,success,round_robin,2026-04-30T08:12:09.895688
37,round_robin,normal,1,17.94,success,round_robin,2026-04-30T08:12:09.913803
38,round_robin,normal,2,0,dropped,round_robin,2026-04-30T08:12:09.913831
39,round_robin,normal,1,16.71,success,round_robin,2026-04-30T08:12:09.930716
40,round_robin,normal,2,81.78,success,round_robin,2026-04-30T08:12:10.012668
41,round_robin,normal,1,17.51,success,round_robin,2026-04-30T08:12:10.030356
42,round_robin,normal,2,91.79,success,round_robin,2026-04-30T08:12:10.122377
43,round_robin,normal,1,23.89,success,round_robin,2026-04-30T08:12:10.146444
44,round_robin,normal,2,95.42,success,round_robin,2026-04-30T08:12:10.242054
45,round_robin,normal,1,23.43,success,round_robin,2026-04-30T08:12:10.265656
46,round_robin,normal,2,78.4,success,round_robin,2026-04-30T08:12:10.344229
47,round_robin,normal,1,17.49,success,round_robin,2026-04-30T08:12:10.361908
48,round_robin,normal,2,79.45,success,round_robin,2026-04-30T08:12:10.441548
