method,success_rate,loss_rate,avg_rtt,total_rounds,scenario
Round Robin,98.0,2.0,49.87,100,normal
LSTM Predictor,100.0,0.0,20.46,100,normal
Round Robin,86.0,14.0,125.02,100,path1_degraded
LSTM Predictor,99.0,1.0,79.9,100,path1_degraded
Round Robin,86.0,14.0,94.44,100,path2_degraded
LSTM Predictor,100.0,0.0,20.06,100,path2_degraded
Round Robin,85.0,15.0,175.2,100,both_degraded
LSTM Predictor,88.0,12.0,160.2,100,both_degraded
Round Robin,99.0,1.0,100.47,100,path2_high_rtt_low_loss
LSTM Predictor,99.0,1.0,19.82,100,path2_high_rtt_low_loss
Round Robin,98.0,2.0,121.03,100,path1_high_rtt_low_loss
LSTM Predictor,95.0,5.0,82.23,100,path1_high_rtt_low_loss
