round,method,scenario,path_chosen,rtt_ms,status,reason,timestamp
1,round_robin,normal,1,22.95,success,round_robin,2026-03-12T15:58:09.796646
2,round_robin,normal,2,67.02,success,round_robin,2026-03-12T15:58:09.863987
3,round_robin,normal,1,24.13,success,round_robin,2026-03-12T15:58:09.888446
4,round_robin,normal,2,82.77,success,round_robin,2026-03-12T15:58:09.971507
5,round_robin,normal,1,22.35,success,round_robin,2026-03-12T15:58:09.994089
6,round_robin,normal,2,0,dropped,round_robin,2026-03-12T15:58:09.994141
7,round_robin,normal,1,18.85,success,round_robin,2026-03-12T15:58:10.013174
8,round_robin,normal,2,96.57,success,round_robin,2026-03-12T15:58:10.110061
9,round_robin,normal,1,17.28,success,round_robin,2026-03-12T15:58:10.127568
10,round_robin,normal,2,61.14,success,round_robin,2026-03-12T15:58:10.189066
11,round_robin,normal,1,19.19,success,round_robin,2026-03-12T15:58:10.208542
12,round_robin,normal,2,88.24,success,round_robin,2026-03-12T15:58:10.297096
13,round_robin,normal,1,20.07,success,round_robin,2026-03-12T15:58:10.317395
14,round_robin,normal,2,90.71,success,round_robin,2026-03-12T15:58:10.408442
15,round_robin,normal,1,24.56,success,round_robin,2026-03-12T15:58:10.433236
16,round_robin,normal,2,79.16,success,round_robin,2026-03-12T15:58:10.512666
17,round_robin,normal,1,23.41,success,round_robin,2026-03-12T15:58:10.536353
18,round_robin,normal,2,66.85,success,round_robin,2026-03-12T15:58:10.603500
19,round_robin,normal,1,17.72,success,round_robin,2026-03-12T15:58:10.621470
20,round_robin,normal,2,84.83,success,round_robin,2026-03-12T15:58:10.706726
21,round_robin,normal,1,15.68,success,round_robin,2026-03-12T15:58:10.722644
22,round_robin,normal,2,60.22,success,round_robin,2026-03-12T15:58:10.783157
23,round_robin,normal,1,19.23,success,round_robin,2026-03-12T15:58:10.802722
24,round_robin,normal,2,81.59,success,round_robin,2026-03-12T15:58:10.884681
25,round_robin,normal,1,21.61,success,round_robin,2026-03-12T15:58:10.906556
26,round_robin,normal,2,61.89,success,round_robin,2026-03-12T15:58:10.968868
27,round_robin,normal,1,17.06,success,round_robin,2026-03-12T15:58:10.986203
